City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,2.3,broken clouds
80,Cape Town,ZA,-33.9258,18.4232,62.1,45,33,4.29,scattered clouds
81,Orlik,RU,52.5178,99.825,33.42,80,96,3.8,overcast clouds
82,Necochea,AR,-38.5473,-58.7368,57.04,45,9,16.17,clear sky
83,Severo-Kurilsk,RU,50.6789,156.125,38.97,97,100,14.27,light rain
84,Synya,RU,65.3718,58.0387,42.13,56,100,6.87,overcast clouds
85,Flinders,AU,-34.5833,150.8552,53.2,81,29,3.0,scattered clouds
86,Balgazyn,RU,51.0,95.2,38.25,57,57,3.8,broken clouds
87,Mahebourg,MU,-20.4081,57.7,74.25,75,3,6.6,clear sky
88,Kapuskasing,CA,49.4169,-82.4331,68.63,24,21,7.23,few clouds
89,Lodeynoye Pole,RU,60.726,33.5531,53.38,43,82,3.11,broken clouds
90,Coihaique,CL,-45.5752,-72.0662,47.01,93,90,9.22,moderate rain
91,Sandviken,SE,60.6167,16.7667,78.44,31,4,1.95,clear sky
92,Port Elizabeth,ZA,-33.918,25.5701,59.09,65,56,9.62,broken clouds
93,Kruisfontein,ZA,-34.0033,24.7314,56.88,68,100,9.19,overcast clouds
94,Yellowknife,CA,62.456,-114.3525,43.29,55,100,11.01,overcast clouds
95,Katsuura,JP,35.1333,140.3,67.1,91,43,12.3,scattered clouds
96,Upernavik,GL,72.7868,-56.1549,31.71,94,100,7.7,overcast clouds
97,Jamestown,US,42.097,-79.2353,61.07,56,40,8.01,scattered clouds
98,Caravelas,BR,-17.7125,-39.2481,83.44,61,10,9.37,clear sky
99,Ilulissat,GL,69.2167,-51.1,51.82,32,62,10.36,broken clouds
100,Vila Velha,BR,-20.3297,-40.2925,87.75,64,0,7.0,moderate rain
101,Salamiyah,SY,35.0113,37.0532,79.38,24,0,14.41,clear sky
102,Airai,TL,-8.9266,125.4092,58.87,91,99,1.92,overcast clouds
103,Luau,AO,-10.7073,22.2247,70.56,32,25,3.8,scattered clouds
104,Torbay,CA,47.6666,-52.7314,60.89,52,50,3.02,scattered clouds
105,Esperance,AU,-33.8667,121.9,59.86,75,90,30.71,light rain
106,Hithadhoo,MV,-0.6,73.0833,83.14,73,49,16.82,scattered clouds
107,Mata,PT,40.683,-7.4592,88.61,36,42,8.86,scattered clouds
108,Bathsheba,BB,13.2167,-59.5167,83.53,68,8,20.74,clear sky
109,Hofn,IS,64.2539,-15.2082,48.22,100,90,14.97,overcast clouds
110,Cartagena,CO,10.3997,-75.5144,84.09,66,84,3.56,broken clouds
