City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Inongo,CD,80.28,overcast clouds,-1.95,18.2667,Hotel Du Lac
398,Houston,US,80.4,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
403,Marrakesh,MA,75.27,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
405,Singkawang,ID,79.25,few clouds,0.9,109.0,Capital O 1822 Wahana Inn
413,Mudbidri,IN,78.42,broken clouds,13.0833,74.9833,Hotel Navami Comforts
417,Pangai,TO,79.07,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
418,Bonthe,SL,81.46,light rain,7.5264,-12.505,Bonthe Holiday Village
422,Sola,VU,75.52,overcast clouds,-13.8833,167.55,Leumerus Bungalows
429,Sciacca,IT,78.03,scattered clouds,37.5082,13.0881,Hotel Aliai
430,Dongsheng,CN,73.29,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
432,Curillo,CO,77.07,light rain,1.0333,-75.9191,CASA CLUB
434,Ixtapa,MX,81.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
440,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
451,Lithakia,GR,76.28,few clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
453,Dharmanagar,IN,79.79,scattered clouds,24.3667,92.1667,Juri Lodge
456,Mastung,PK,81.36,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
466,Kavieng,PG,81.16,moderate rain,-2.5744,150.7967,Nusa Island Retreat
467,Lucapa,AO,77.61,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
473,Kalianget,ID,80.49,broken clouds,-7.05,113.9333,Pesanggrahan Garam
476,Samarai,PG,79.09,overcast clouds,-10.6167,150.6667,Nuli Sapi
486,Zamora,EC,74.93,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
507,Finote Selam,ET,74.64,scattered clouds,10.7,37.2667,Kidanemihiret vilage with Anduamlak Alelign(ONEGOD)
522,Manakara,MG,73.99,clear sky,-22.1333,48.0167,La Residence Manakara
524,Korla,CN,79.92,scattered clouds,41.7597,86.1469,Gulisitan Hotel
530,Mayumba,GA,78.93,scattered clouds,-3.432,10.6554,LIKWALE LODGE
532,Candelaria,PH,81.39,broken clouds,13.9311,121.4233,Casa de Provincia
533,Zorritos,PE,73.69,broken clouds,-3.6805,-80.6782,COSTA AZUL ZORRITOS MANGO
535,Alice Town,BS,79.02,few clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
540,Hambantota,LK,81.01,overcast clouds,6.1241,81.1185,Bungalow 63
542,Talara,PE,74.16,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
547,Malanje,AO,74.21,broken clouds,-9.5402,16.340999999999998,Malanje Hotel
553,Bandraboua,YT,78.48,clear sky,-12.7044,45.1223,HASSANI Mikidachi
562,Pandan,PH,80.58,overcast clouds,14.0453,124.1694,Bonifacio Lodge
567,Tevaitoa,PF,79.7,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
572,Pundaguitan,PH,77.43,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
573,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
580,San Angelo,US,78.94,overcast clouds,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
582,Selcuk,TR,75.07,overcast clouds,37.9514,27.3685,Archeologica House Ephesus
583,Yaring,TH,81.63,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
589,Kamariotissa,GR,77.02,light rain,40.4833,25.4667,Niki Beach
590,Sibolga,ID,76.91,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
592,Tabou,CI,82.27,light rain,4.423,-7.3528,hotêl doufoulougou
598,Jiangyou,CN,73.35,light rain,31.7667,104.7167,Shangping Shuyuan Inn
606,Brownwood,US,78.3,overcast clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
612,Sechura,PE,75.27,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
613,Constantine,DZ,81.27,broken clouds,36.365,6.6147,Grand Hotel Cirta
614,Xinxiang,CN,74.53,light rain,35.3089,113.8672,Guoyu Holiday Inn
629,Bintulu,MY,78.82,scattered clouds,3.1667,113.0333,900 Boutique INN
633,Lawigan,PH,79.75,light rain,10.487,122.0354,The Assemblage Point Resort and Convention Hub
636,Kieta,PG,77.83,light rain,-6.2167,155.6333,Uruna Bay Retreat
637,Padang,ID,77.13,moderate rain,-0.9492,100.3543,Mercure Padang
638,Port-Gentil,GA,79.2,broken clouds,-0.7193,8.7815,Fengshui Residence
